Process;Process_id;Level;extended_Description;brief_description;Domain;Vertical_Group;Original_id;M_Level;Framework Status
Undertake Order Management Trend Analysis;1.3.1.2.17;4;Not used for this process element;Undertake trend analysis on order Management, such as time taken to complete a customer order, frequency and type of Order Management process issues involved, and canceled orders.;Customer Domain;Operations Readiness & Support;1.1.1.22.2.18;4;Released
Support Customer Problem Management;1.3.1.3;3;"The responsibilities of the Support Customer Problem Management processes are twofold - assist Problem Management processes by proactively undertaking statistically driven preventative and scheduled purchased product offering maintenance activities and monitoring, managing and reporting on the capability of the Problem Management processes.
These processes are responsible for ensuring that the purchased product offerings are working effectively and efficiently.
Responsibilities of these processes include, but are not limited to:
- Extracting and analyzing, including undertaking trend analysis, historical and current customer problem reports and performance reports to identify potential customer purchased product offerings requiring proactive maintenance and/or replacement;
- Requesting scheduling of additional customer purchased product offering data collection to assist in the analysis activity;
- Requesting scheduling of customer purchased product offering performance testing to assist in analysis activity;
- Developing and managing customer purchased product offering proactive maintenance programs;
- Requesting customer provisioning activity to prevent anticipated customer problems associated with purchased product offerings identified in the analysis activities;
- Reporting outcomes of trend analysis to Market &amp; Offer Management processes to influence new and/or modified customer product offering development;
- Tracking and monitoring of the Problem Management processes and associated costs (including where customer infrastructure is deployed and managed by third parties), and reporting on the capability of the Problem Management processes
- Establishing and managing customer problem notification facilities and lists to support the Problem Management notification and reporting processes
These processes undertake trend analysis on Problem Management";Assist Problem Management processes by proactively undertaking statistically driven preventative and scheduled purchased product offering maintenance activities and monitoring, managing and reporting on the capability of the Problem Handling processes.;Customer Domain;Operations Readiness & Support;1.1.1.22.3;4;Released
Ensure Customer Product Offering Operation;1.3.1.3.1;4;Not used for this process element;Ensure that the product offerings purchased by a Customer are working effectively and efficiently.;Customer Domain;Operations Readiness & Support;1.1.1.22.3.1;4;Released
Report Customer Product Offering Trend Analysis;1.3.1.3.7;4;Not used for this process element;Reporting outcomes of trend analysis to Market & Offer Management processes to influence new and/or modified customer product offering development.;Customer Domain;Operations Readiness & Support;1.1.1.22.3.7;4;Released
Track Customer Problem Management Process Capability;1.3.1.3.8;4;Tracking and monitoring of the Customer Problem Management processes and associated costs (including where customer infrastructure is deployed and managed by third parties), and reporting on the capability of the Customer Problem Handling processes;Not used for this process element.;Customer Domain;Operations Readiness & Support;1.1.1.22.3.8;4;Released
Manage Customer Problem Management Notification;1.3.1.3.9;4;Not used for this process element;Establishing and managing customer problem notification facilities and lists to support the Problem Management notification and reporting processes.;Customer Domain;Operations Readiness & Support;1.1.1.22.3.9;4;Released
Undertake Customer Problem Management Trend Analysis;1.3.1.3.10;4;Not used for this process element;These processes undertake trend analysis on Customer Problem Management.;Customer Domain;Operations Readiness & Support;1.1.1.22.3.10;4;Released
Support Retention & Loyalty;1.3.1.4;3;"The purpose of the Support Retention & Loyalty processes is to make sure that there is capability (for example, information, materials, systems and resources) so that the Retention & Loyalty processes can operate effectively. Examples are information on current requests for analysis and collection of customer profile information, materials needed to analyze customer retention and loyalty information, systems needed to analyze customer retention and loyalty information, requests for the provisioning of additional resources where it has been identified that current levels will impact on timely retention and loyalty information collection and delivery.
These processes undertake trend analysis on retention and loyalty, including customer acquisitions and churn, and the effectiveness of loyalty schemes.";Ensure that all information, materials, systems and resources are available so that the Retention & Loyalty processes can be completed without delay, when a request is received from a customer.;Customer Domain;Operations Readiness & Support;1.1.1.22.5;4;Released
Ensure Retention & Loyalty Capability;1.3.1.4.1;4;Ensure that there is capability (for example, information, materials, systems and resources) so that the Retention & Loyalty processes can operate effectively. Examples are information on current requests for analysis and collection of customer profile information, materials needed to analyze customer retention and loyalty information, systems needed to analyze customer retention and loyalty information, requests for the provisioning of additional resources where it has been identified that current levels will impact on timely retention and loyalty information collection and delivery.;Not used for this process element.;Customer Domain;Operations Readiness & Support;1.1.1.22.5.1;4;Released
Undertake Retention & Loyalty Trend Analysis;1.3.1.4.2;4;Not used for this process element;Undertake trend analysis on retention and loyalty, including customer acquisitions and churn, and the effectiveness of loyalty schemes.;Customer Domain;Operations Readiness & Support;1.1.1.22.5.2;4;Released
Support Customer Bill Invoice Management;1.3.1.6;3;Not used for this process element;Ensure that all information, materials, systems and resources are available so that the Customer Bill Invoice Management processes can be completed without delay.;Customer Domain;Operations Readiness & Support;1.1.1.22.13;4;Released
Determine Customer Bill Invoice Management Capability;1.3.1.6.1;4;Not used for this process element;Make sure that there is capability so that the Customer Bill Invoice Management processes can operate effectively.;Customer Domain;Operations Readiness & Support;1.1.1.22.13.1;4;Released
Establish & Maintain Customer Bill Invoice Format;1.3.1.6.2;4;Not used for this process element;Establish and maintain the customer bill invoice formats, and any interaction with specific customers to modify the format.;Customer Domain;Operations Readiness & Support;1.1.1.22.13.2;4;Released
Maintain Bill Customers List;1.3.1.6.3;4;Not used for this process element;Maintain lists of customers who are eligible for receiving bills.;Customer Domain;Operations Readiness & Support;1.1.1.22.13.3;4;Released
Define Customer Billing Cycle;1.3.1.6.4;4;Not used for this process element;Define the Customer billing cycles and respective dates according to cash flow needs as established by Financial Management processes.;Customer Domain;Operations Readiness & Support;1.1.1.22.13.4;4;Released
Analyze Customer Billing Trend;1.3.1.6.5;4;Not used for this process element.;Undertake trend analysis on invoice generation, production and distribution issues.;Customer Domain;Operations Readiness & Support;1.1.1.22.13.5;4;Released
Design & Develop Customer Invoicing Process;1.3.1.6.6;4;Not used for this process element.;Design and develop the Service Providers Customer invoicing process.;Customer Domain;Operations Readiness & Support;1.1.1.22.13.6;4;Released
Support Customer Bill Payments & Receivables Management;1.3.1.7;3;Not used for this process element.;Ensure that all information and systems are available so that the Customer Bill Payments & Receivables Management processes can be completed without delay.;Customer Domain;Operations Readiness & Support;1.1.1.22.14;4;Released
Determine Customer Bill Payments & Receivables Management Capability;1.3.1.7.1;4;Not used for this process element.;Make sure that there is capability that the Bill Payments & Receivables Management processes can operate effectively.;Customer Domain;Operations Readiness & Support;1.1.1.22.14.1;4;Released
Analyze Customer Payment Trend;1.3.1.7.2;4;Not used for this process element.;Analyze trend on customer billing debts, alerting when pre-determined thresholds are tended to be exceeded.;Customer Domain;Operations Readiness & Support;1.1.1.22.14.2;4;Released
Administer Customer Payment Processes;1.3.1.7.3;4;Not used for this process element.;Establish, manage and, if required, operate the various payment processes that the Service Provider chooses to establish;Customer Domain;Operations Readiness & Support;1.1.1.22.14.3;4;Released
Support Customer Bill Inquiry Handling;1.3.1.8;3;"The purpose of the Support Customer Bill Inquiry Handling processes is to make sure that there is capability (for example, information, systems and resources) so that the Customer Bill Inquiry Handling processes can operate effectively. Examples are information on how to respond to current billing issues being raised by customers, systems needed to create customer bill inquiry and complaint reports, requests for provisioning of additional resources where it has been identified that current levels will impact on timely billing complaint handling.

These processes are responsible for managing billing policies associated with customer billing dispute settlements.

These processes undertake trend analysis on billing queries and complaints.";Ensure that all information, systems and resources are available so that the Customer Bill Inquiry Handling processes can be completed without delay.;Customer Domain;Operations Readiness & Support;1.1.1.22.15;4;Released
Determine Customer Bill Inquiry Handling Capability;1.3.1.8.1;4;Not used for this process element.;Make sure that there is capability so that the Customer Bill Inquiry Handling processes can operate effectively.;Customer Domain;Operations Readiness & Support;1.1.1.22.15.1;4;Released
Manage Customer Billing Policy;1.3.1.8.2;4;Not used for this process element.;Manage Customer billing policies associated with customer billing dispute settlements.;Customer Domain;Operations Readiness & Support;1.1.1.22.15.2;4;Released
Analyze Customer Bill Inquiry Trend;1.3.1.8.3;4;Not used for this process element.;Undertake trend analysis on Customer billing queries and complaints.;Customer Domain;Operations Readiness & Support;1.1.1.22.15.3;4;Released
Support Customer QoS/SLA;1.3.1.12;3;"The responsibilities of the Support Customer QoS/SLA Management processes are twofold - support Customer QoS/SLA Management processes by proactively monitoring and assessing the performance of purchased product offerings as a group against agreed QoS/SLA parameters, and monitoring, managing and reporting on the capability of the Customer QoS/SLA Management processes.
Proactive management is undertaken using a range of performance parameters, whether technical, time, economic or process related. 
The responsibilities of the processes include, but are not limited to:
- Undertaking proactive monitoring regimes of groups of similar purchased product offerings as required to ensure ongoing performance within agreed parameters over time;
- Developing and maintaining, in the product offering  repository, acceptable and/or commercially agreed performance threshold standards for purchased product offerings to support the Customer QoS/SLA Management processes;
- Undertaking trend analysis, and producing reports, of the QoS performance of groups of like purchased product offerings to identify any longer term deterioration;
- Monitoring and analyzing the purchased product offering performance analyses produced by the Customer QoS/SLA Management processes to identify problems that may be applicable to purchased product offerings as a whole;
- Aggregate analysis of QoS performance across groups of customers or aggregate analysis of SLA types;
- Sourcing details relating to purchased product offerings performance and analysis from the product offering inventory to assist in the development of trend analyses;
- Logging the results of the analysis into the product offering inventory repository;
- Establishing and managing facilities to inform customers of, and negotiate agreement for, planned service outages;
- Tracking and monitoring of the Customer QoS/SLA Management processes and associated costs, and reporting on the capability of the Customer QoS/SLA Management processes;
- Establishing and managing customer notification facilities and lists to support the Customer QoS/SLA Management notification and reporting processes
- Supporting the Support Customer QoS/SLA Management process.";Support Customer QoS/SLA Management processes by proactively monitoring and assessing the performance of purchased product offerings as a group against agreed QoS/SLA parameters, and monitoring, managing and reporting on the capability of the Customer QoS.;Customer Domain;Operations Readiness & Support;1.1.1.21.8-1.2.4.1;4;Released
Ensure Customer QoS/SLA Capability;1.3.1.12.1;4;Not used for this process element;Supporting the Support Customer QoS/SLA Management process.;Customer Domain;Operations Readiness & Support;1.1.1.21.8.1 was 1.2.4.1.1;4;Released
Proactive performance Monitoring;1.3.1.12.2;4;Not used for this process element;Proactively monitor and assess the performance of purchased product offerings.;Customer Domain;Operations Readiness & Support;1.2.4.1.2;4;Released
Monitor and Report on QoS/SLA capability;1.3.1.12.3;4;Not used for this process element;Monitor, and report on the capability of the Customer QoS/SLA Management processes.;Customer Domain;Operations Readiness & Support;1.2.4.1.3;4;Released
Customer Experience Management;1.3.2;2;"Customer Experience Management (CEM) is the collection of processes a company uses to track, oversee and organize every interaction between its customers and the organization throughout the customer lifecycle process. The purpose of CEM processes is to create and drive a customer-centric culture to engender positive customer experience through journey design, experience perception, as well as tracking, overseeing and managing every interaction-both direct and indirect-between the customer and the organization throughout the customer lifecycle. Furthermore, CEM processes put customers at the center of marketing, sales and customer support in order to drive brand loyalty and customer satisfaction.
The customer experience (CE) is comprised of a variety of elements, such as: cognitive, emotional, physical, sensorial, and social.  CE is based on two key components. The first key component is the experience delivery in all direct interactions throughout the CSP's engagement and communication, products and/or services which apply in the above-described elements. 
The second key component is the measurement and management of the perception by the customer, including indirect interactions with the customer in which customer perception and knowledge play a strong role. 
CEM processes guide voice of the customer (VoC) programs to quantify customer sentiment about their experiences with a company; they provide support for the adjustment of elements of the customer experience that generate knowledge to improve CE. CEM processes promote and support a 360-degree view of customers, with integrated, up-to-date data on customer accounts.
The overall customer experience represents the full set of customer interactions across all customer journeys, it can be expressed as a set of qualitative and quantitative experience attributes. The set of attributes represents a calculated score on a scale from negative to positive Customer- Engagement-Over-Time. The measured customer experience reflects and results from the collection of experiences from every customer.
CEM optimizes the experience of the interactions with the customer in all customer-journey-lifecycles and maximizes the delivered outcome in terms of customer value and business value.";The purpose of the Customer Experience Management (CEM) process is to create and drive a customer-centric culture to engender positive customer experience through journey design, experience perception, as well as tracking, overseeing and managing every interaction-both direct and indirect-between the customer and the organization throughout the customer lifecycle. Furthermore, CEM processes put customers at the center of marketing, sales and customer support in order to drive brand loyalty and customer satisfaction.;Customer Domain;Business Value Development;;4;Released
Customer Order Processing Management;1.3.3;2;"Customer Order Processing Management business process directs and controls all activities that operationally realize orders for customer. 

Customer Order Processing Managment assures the capture, processing, fulfillment, ""shipping"", delivery and reporting of customer orders from feasibility assessment, purchasing, payent, fulfullment and followup with the customer for closure.";;Customer Domain;Operations Readiness & Support;;4;Released
