ABE_Name;BE_Name;Attribute_Name;Documentation;;;;
;;valueType;"A kind of value that the characteristic can take on, such as numeric, text, and so forth.

Required, if the specification is not a composite.";;;;
;CompProdCorCharacteristicValue;;A number or text that can be assigned to a CompProdCorrelationCharacteristic.;;;;
;;fromValue;The low range value that a characteristic can take on.;;;;
;;isDefault;Indicates if the value is the default value for a characteristic.;;;;
;;rangeInterval;"An indicator that specifies the inclusion or exclusion of the valueFrom and valueTo attributes.

Possible values are ""open"", ""closed"", ""closedBottom"" and ""closedTop"".";;;;
;;toValue;The upper range value that a characteristic can take on.;;;;
;;unitOfMeasure;A length, surface, volume, dry measure, liquid measure, money, weight, time, and the like. Iin general, a determinate quantity or magnitude of the kind designated, taken as a standard of comparison for others of the same kind, in assigning to them numerical values, as 1 foot, 1 yard, 1 mile, 1 square foot.;;;;
;;validFor;The period of time for which a value is applicable.;;;;
;;value;A discrete value that the characteristic can take on.;;;;
;;valueType;A kind of value that the characteristic can take on, such as numeric, text, and so forth.;;;;
;CompProdCorrelationCharacteristic;;A characteristic quality or distinctive feature of a CompetitorProductCorrelation. The characteristic can be take on a discrete value, such as geographic disbursement (central, national, cascading), can take on a range of values, (for example, Competitor ProductOffering revenue of $500,000 - $1,000,000), or can be derived from a formula (for example, number of MarketSegments in correlation = number of MarketSegments related to this correlation).;;;;
;;derivationFormula;A rule or principle represented in symbols, numbers, or letters, often in the form of an equation used to derive the value of a characteristic value.;;;;
;;description;A narrative that explains what the characteristic is.;;;;
;;extensible;An indicator that specifies that the values for the characteristic can be extended by adding new values when instantiating a characteristic for an Entity.;;;;
;;ID;A unique identifier for the CompProdCorrelationCharacteristic.;;;;
;;maxCardinality;The maximum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where five is the value for the maxCardinality.;;;;
;;minCardinality;The minimum number of instances a CharacteristicValue can take on. For example, zero to five phone numbers in a group calling plan, where zero is the value for the minCardinality.;;;;
;;name;A word, term, or phrase by which the characteristic is known and distinguished from characteristics.;;;;
;;unique;"An indicator that specifies if a value is unique for the specification.

Possible values are; ""unique while value is in effect"" and ""unique whether value is in effect or not""";;;;
;;validFor;The period of time for which a characteristic is applicable.;;;;
;;valueType;"A kind of value that the characteristic can take on, such as numeric, text, and so forth.

Required, if the specification is not a composite.";;;;
Market & Sales Domain.Market & Sales Strategy Plan ABE;;;Market & Sales Strategy Plan ABE supports the business plans and strategies on how to address the market with appropriate products and channels.;;;;
;AtomicOperationalMktPlan;;An AtomicOperationalMktPlan corresponds to a campaign plan which is the smallest level of the OperationalMarketingPlan hierarchy.;;;;
;;ID;A unique identifier for the OperationalMarketingPlan;;;;
;;name;A word, term, or phrase by which a OperationalMarketingPlan is known and distinguished from other OperationalMarketingPlans.;;;;
;;type;The type represents the level of OperationalMarketingPlan, i.e. Marketing Plan, Marketing Program or Campaign Plan.;;;;
