ABE_Name;BE_Name;Attribute_Name;Documentation;;;;
;MetricDefMeasureApplicability;;The time of day or days during which a MetricDefMeasure is measured or not measured.;;;;
;;applicableCode;Indicator that specifies whether an instance represents applicability or un-applicability.;;;;
;;applicableDays;A day or days representing applicability or un-applicability.  For example 2, 3 represent Monday and Tuesday.;;;;
;;applicableDuring;A period of time representing applicability or un-applicability. For example, from 8AM to 12PM.;;;;
;;description;A narrative that explains in detail what the applicability is.;;;;
;;ID;A unique identifier for the MetricApplicability.;;;;
;;name;A word, term, or phrase by which a applicability is known and distinguished from other MetricApplicabilities.;;;;
;;validFor;The period of time during which the applicability is in force.;;;;
Metric Definition Measure ABE.Metric Definition Measure Threshold ABE;;;The Metric Definition Measure Threshold ABE contains all entities describing the threshold used for MetricDefMeasure.;;;;
;MetricDefMeasureThreshConsDependency;;A dependency a MetricDefMeasureConsequence has on a MetricDefMeasureThresholdRule.;;;;
;;typeDependency;"The kind of dependency that exists between the MetricDefMeasureThresholdRule and the MetricDefMeasureConsequence. For example, ""the consequence is triggered only if the rule has been applied previously"", or ""if the rule has already been applied then do not trigger the consequence"".";;;;
;MetricDefMeasureThresholdConsequence;;The sequence in which a MetricDefMeasureConsequence should be applied for a MetricDefMeasureThresholdRule.;;;;
;;sequenceOfApplication;A number that represents the sequence in which a MetricDefMeasureConsequence should be applied for a MetricDefMeasureThresholdRule.;;;;
;MetricDefMeasureThresholdRelationship;;The MetricDefMeasureThresholdRelationship enables specifying any kind of relationships between MetricDefMeasureThresholdRule such as depends on, follows, and so forth.;;;;
;;thresholdRelationshipType;The kind of relationship between two MetricDefMeasureThresholdRules, such as depends on, follows, and so forth.;;;;
;MetricDefMeasureThresholdRule;;A MetricDefMeasureThresholdRule is a rule that defines the condition (raise or clear) to achieve to apply consequences when a threshold (MetricDefMeasureThreshold) is crossed or ceased to be crossed. It also defines the severity of the raise or clear of the threshold.;;;;
;;description;Description for the MetricDefMeasureThresholdRule .;;;;
;;name;Name for the MetricDefMeasureThresholdRule .;;;;
;;thresholdRuleSeverity;A threshold can be generated in different severity levels. A crossing for each level may require a different condition and possibly trigger a different consequence.;;;;
;MetricDefMeasureThresholdSet;;"A MetricDefMeasureThresholdSet provides a way to group a set of one or more MetricDefMeasureThresholdRules specifying the condition to evaluate for applying consequences.
A MetricDefMeasureThresholdSet is used to evaluate one or more MetricDefMesures.
A MetricDefMeasureThresholdSet contains either MetricThresholdRuleDefinition instances or PreDefinedMetricThresholdRule instances.";;;;
;;description;A narrative that explains in detail what the MetricDefMeasureThresholdSet is.;;;;
;;ID;A unique identifier for the MetricDefMeasureThresholdSet.;;;;
;;name;A word, term, or phrase by which a MetricDefMeasureThresholdSet is known and distinguished from other thresholds.;;;;
;;thresholdType;"The thresholdType specifies the type of MetricDefMeasureThresholdRule contained in the MetricDefMeasureThresholdSet.
The value is “LogicDefinition” if the MetricDefMeasureThresholdSet contains only MetricThresholdRuleDefinition instances and “PreDefined” if it contains only PreDefinedMetricThresholdRule instances.";;;;
;MetricThresholdRuleDefinition;;Various types of threshold logic can be implemented by this entity. For example: Indicator > Value.;;;;
;;conformanceComparatorLower;"An operator that when applied on a value specifies whether a threshold is crossed or ceased to be crossed.
This operator is used to compare with the conformanceTargetLower.";;;;
;;conformanceComparatorUpper;"An operator that when applied on a value specifies whether a threshold is crossed or ceased to be crossed.
This operator is used to compare with the conformanceTargetUpper.";;;;
;;conformanceTargetLower;A value used to determine if the threshold is crossed or ceases to be crossed. It represents the Lower limit.  The value should be less than the conformanceTargetUpper.   The conformance comparators should also be logically defined so as to not lead to a logically impossible condition.;;;;
;;conformanceTargetUpper;A value used to determine if the threshold is crossed or ceases to be crossed. It represents the Upper limit. The value should be greater than the conformanceTargetLower.   The conformance comparators should also be logically defined so as to not lead to a logically impossible condition.;;;;
;;numberOfAllowedCrossing;The number of allowed crossing occurrences in reference to the tolerancePeriod without a consequence being initiated.;;;;
;;tolerancePeriod;An interval of time of allowed crossing occurrences before a consequence being initiated.;;;;
;;description;Description for the MetricDefMeasureThresholdRule .;;;;
;;name;Name for the MetricDefMeasureThresholdRule .;;;;
;;thresholdRuleSeverity;A threshold can be generated in different severity levels. A crossing for each level may require a different condition and possibly trigger a different consequence.;;;;
;PreDefinedMetricThresholdRule;;"A pre-defined threshold is a ""black-box"" logic that resides in the PM Producing Application. A PM consuming application can execute it assigning values to its parameters.";;;;
;;derivationAlgorithm;A step-by-step procedure used to calculate the value of the MetricMeasure.;;;;
;;description;Description for the MetricDefMeasureThresholdRule .;;;;
;;name;Name for the MetricDefMeasureThresholdRule .;;;;
;;thresholdRuleSeverity;A threshold can be generated in different severity levels. A crossing for each level may require a different condition and possibly trigger a different consequence.;;;;
;PreDefinedMetricThresholdRuleParam;;The parameters that are associated to a pre-defined threshold.;;;;
;;thresholdParams;A name-value pair representing a predefined threshold parameters.;;;;
Common Domain.Location ABE;;;"The Location ABE represents the site or position of something, such as a customer’s address, the site of equipment where there is a fault and where is the nearest person who could repair the equipment, and so forth.  Locations can take the form of coordinates and/or addresses and/or physical representations.
Disclaimer
This Location model is complex and has a number of subtleties. It provides a high level framework, explains broad concepts and gives illustrative examples. Actual solutions for particular requirements will be dependent factors such as
country address standards
state/ country / province map standards
Service Provider addressing standards
Equipment vendor equipment naming & addressing conventions
whether textual only or graphical representations will be provided
It is expected that when this model is used in NGOSS Catalyst projects, the feedback will clarify its application & usage in particular situations.
There is obviously a limit to the amount of detail that can be included in a document like this. Those wishing to delve into more detail should consult the references used as the basis for this document.
Introduction
At the most fundamental level [Zachman], [Coad-Archetypes] the world can be thought of as comprising of entities that answer the 5 fundamental questions. (see below Figure L.00 – Showing how Location Fits in)";;;;
;AddressContactMediumRole;;A ContactMedium, such as a telephone number or fax number, associated with an address.;;;;
;;timePeriod;The period of time for which the ContactMedium is applicable for the address.;;;;
;Place;;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;PlacePhysicalResourceAssoc;;The association between a PhysicalResource and a Place (Location).;;;;
;;modifier;A limitation or qualification of the association.;;;;
;;placeRole;The role the Place (Location) plays in the association.;;;;
;;validFor;The period of time for which the association is applicable.;;;;
Location ABE.Geographic Place ABE;;;A group of entities that are used to define a geographic location and enable it to be marked it on a map or given an address.;;;;
;AdministrativeArea;;"Administrative Area represents the many areas that are controlled or managed by an Administration. Administrations could include councils, governments …
This is an example of a concrete Geographic Location entity.";;;;
;;type;MUNICIPALITY, CENSUS DISTRICT, ELECTORAL AREA, COUNTY, PARISH or ...;;;;
;;accuracy;"The accuracy of the GeographicLocation.  For example, this GPS measurement is accurate to +-20 metres. This attribute allows us to determine when two points close to each other could be the same point. Refer ""[OGIS] Abstract Specification, Topic 9: Quality"" for details of this complex subject.
Notes: This should be provided if the geometry attribute is not null.";;;;
;;geometry;"The two dimensional graphical representation of the Location allowing it to be displayed on a map and to be used for spatial calculations.
Notes: Since Geometry is abstract, the attribute will actually be one of the concrete subclasses";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;Country;;This is an example of a concrete Geographic Location entity.;;;;
;;iso2Code;"ISO 2 letter country abbreviation.
Notes: refer ISO-3166";;;;
;;iso3Code;"ISO 3 letter country abbreviation
Notes: refer ISO-3166";;;;
;;name;"The name that the Country is known by.
Notes: the standard name as defined in ISO-3166 should be used";;;;
;;type;"The type of country.
Permitted Values: COUNTRY or PRINCIPALITY
Notes: this can be used to differentiate places like Holy See (Vatican city state) and Monaco if required";;;;
;;accuracy;"The accuracy of the GeographicLocation.  For example, this GPS measurement is accurate to +-20 metres. This attribute allows us to determine when two points close to each other could be the same point. Refer ""[OGIS] Abstract Specification, Topic 9: Quality"" for details of this complex subject.
Notes: This should be provided if the geometry attribute is not null.";;;;
;;geometry;"The two dimensional graphical representation of the Location allowing it to be displayed on a map and to be used for spatial calculations.
Notes: Since Geometry is abstract, the attribute will actually be one of the concrete subclasses";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;ExchangeLocation;;A geographic loaction, typically a building, used to house the inside plant equipment of potentially several telephone exchanges, each serving a certain geographical exchange area.;;;;
;;datum;A single piece of information, such as a fact, statistic, or code, for a ExchangeLocation.;;;;
;;elevation;The height above sea level, in the indicated units;;;;
;;landCover;The vegetation (natural or planted) or man made constructions (buildings, etc.) which occur on the earth surface. Water, ice, bare rock, sand and similar surfaces also count as land cover. [Land Use Database];;;;
;;landUse;A series of operations on land, carried out by humans, with the intention to obtain products and/or benefits through using land resources. [Land Use Database];;;;
;;lotNr;A number assigned to a Property lot that is used to identify it.;;;;
;;name;The property name, if it exists.;;;;
;;accuracy;"The accuracy of the GeographicLocation.  For example, this GPS measurement is accurate to +-20 metres. This attribute allows us to determine when two points close to each other could be the same point. Refer ""[OGIS] Abstract Specification, Topic 9: Quality"" for details of this complex subject.
Notes: This should be provided if the geometry attribute is not null.";;;;
;;geometry;"The two dimensional graphical representation of the Location allowing it to be displayed on a map and to be used for spatial calculations.
Notes: Since Geometry is abstract, the attribute will actually be one of the concrete subclasses";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;ExchangeServiceArea;;A region or part of a town, a country, or the world that is served by an exchange.;;;;
;;code;A of word or letters used as a substitute for the name of the ExchangeServiceArea.;;;;
;;name;The name the ExchangeServiceArea is known by.;;;;
;;accuracy;"The accuracy of the GeographicLocation.  For example, this GPS measurement is accurate to +-20 metres. This attribute allows us to determine when two points close to each other could be the same point. Refer ""[OGIS] Abstract Specification, Topic 9: Quality"" for details of this complex subject.
Notes: This should be provided if the geometry attribute is not null.";;;;
;;geometry;"The two dimensional graphical representation of the Location allowing it to be displayed on a map and to be used for spatial calculations.
Notes: Since Geometry is abstract, the attribute will actually be one of the concrete subclasses";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;GeographicArea;;This is a generic entity, used to represent areas defined on maps that relate to areas of settlement.This is an example of a concrete Geographic Location entity.;;;;
;;code;"Used if a standard code set has been defined for the GeographicArea type.
Notes: see [ANSI T.253] for US codes";;;;
;;name;The defined name of the GeographicArea.;;;;
;;type;The type of GeorgraphicArea, such as SUBURB, LOCALITY, CITY, TOWN or VILLAGE or BOROUGH or HAMLET, and so forth.;;;;
;;accuracy;"The accuracy of the GeographicLocation.  For example, this GPS measurement is accurate to +-20 metres. This attribute allows us to determine when two points close to each other could be the same point. Refer ""[OGIS] Abstract Specification, Topic 9: Quality"" for details of this complex subject.
Notes: This should be provided if the geometry attribute is not null.";;;;
;;geometry;"The two dimensional graphical representation of the Location allowing it to be displayed on a map and to be used for spatial calculations.
Notes: Since Geometry is abstract, the attribute will actually be one of the concrete subclasses";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;GeographicLocation;;A defined place on or near the earth's surface. It is an abstract modeling concept that provides a linking point to other parts of the SID model.It holds attributes common to all Geographic Location subclasses.;;;;
;;accuracy;"The accuracy of the GeographicLocation.  For example, this GPS measurement is accurate to +-20 metres. This attribute allows us to determine when two points close to each other could be the same point. Refer ""[OGIS] Abstract Specification, Topic 9: Quality"" for details of this complex subject.
Notes: This should be provided if the geometry attribute is not null.";;;;
;;geometry;"The two dimensional graphical representation of the Location allowing it to be displayed on a map and to be used for spatial calculations.
Notes: Since Geometry is abstract, the attribute will actually be one of the concrete subclasses";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;GeographicLocationName;;A word, term, or phrase by which a Geographic Location is known and distinguished from other Geographic Locations. A name is an informal way of identifying an object [Fowler]Separating Location Name from Location allows for a Location to have many names at the same time and for names to change over time.;;;;
;;name;The name that is used to refer to the location.;;;;
;;nameType;"Indicates if this is the main name or a type of alternative name.
Permitted Values: “MAIN” or “ALIAS” or …";;;;
;;validFor;"The time period that the name is valid for.
Permitted Values: Refer Time Period class";;;;
;GeographicLocationRelationship;;This association allows us to show direct relationships between Geographic Locations.This should be used with care to ensure that the association reflects reality;;;;
;;interactionType;The type of relationship between the locations. This could be a binary topological relationship type (touches, crosses, overlaps, equals, contains, within) if a spatial engine is not available and the spatial relationships are being modeled directly, or some more general relationships.;;;;
;;role;The role that the FROM entity is playing.;;;;
;;validFor;"The time period that the relationship is valid for.
Permitted Values: Refer Time Period class";;;;
;GeographicLocationType;;This is a simple specification entity used to provide a list of allowable geographic location types. These types correspond to the concrete entity names shown on fig 10a;;;;
;;name;"The name of the LocationType.
Notes: e.g. COUNTRY, PRINCIPALITY, WI-FI-SERVICE-AREA …";;;;
;;symbol;The symbol used to represent the GeographicLocationType on a map.;;;;
;GeographicPlace;;"Allows us to determine where things are in relation to the earth's surface.
It is an abstract modeling concept that provides a linking point to other parts of the SID model.";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;GeographicPostcode;;A postal delivery area used to speed and simplify the delivery of mail.;;;;
;;code;"A descriptor for a postal delivery area used to speed and simplify the delivery of mail.
Notes: also known as ZIP code";;;;
;;accuracy;"The accuracy of the GeographicLocation.  For example, this GPS measurement is accurate to +-20 metres. This attribute allows us to determine when two points close to each other could be the same point. Refer ""[OGIS] Abstract Specification, Topic 9: Quality"" for details of this complex subject.
Notes: This should be provided if the geometry attribute is not null.";;;;
;;geometry;"The two dimensional graphical representation of the Location allowing it to be displayed on a map and to be used for spatial calculations.
Notes: Since Geometry is abstract, the attribute will actually be one of the concrete subclasses";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;GeographicSite;;A convenience class that allows us to easily refer to Places important to the Service Provider.;;;;
;;code;A code that may be used for some addressing schemes e.g. [ANSI T1.253-1999].;;;;
;;name;The name that the site is known by.;;;;
;;status;The condition of the GeographicSite, such as active, inactive, planned.;;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;GeographicSiteRole;;The part played by a Site in a given context with any characteristics, such as expected pattern of behavior, attributes, and/or associations that it entails.;;;;
;;type;The name of the role e.g. asset location.;;;;
;;code;A code that may be used for some addressing schemes e.g. [ANSI T1.253-1999].;;;;
;;name;The name that the site is known by.;;;;
;;status;The condition of the GeographicSite, such as active, inactive, planned.;;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;GeographicState;;This is an example of a concrete Geographic Location entity.It can be used to represent States and their equivalents.;;;;
;;code;An abbreviation for the name e.g. SA, NT, WA, QLD, NSW, VIC, TAS.;;;;
;;name;The standard state name.;;;;
;;type;The type of state.;;;;
;;accuracy;"The accuracy of the GeographicLocation.  For example, this GPS measurement is accurate to +-20 metres. This attribute allows us to determine when two points close to each other could be the same point. Refer ""[OGIS] Abstract Specification, Topic 9: Quality"" for details of this complex subject.
Notes: This should be provided if the geometry attribute is not null.";;;;
;;geometry;"The two dimensional graphical representation of the Location allowing it to be displayed on a map and to be used for spatial calculations.
Notes: Since Geometry is abstract, the attribute will actually be one of the concrete subclasses";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;Jurisdiction;;An area over which authority extends.;;;;
;LandUseType;;The kind of land use, such as the kinds of human uses of land.;;;;
;NetworkRoute;;A way or course taken in getting from a starting point to a destination in a network.;;;;
;;name;The name that the NetworkRoute is known by.;;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;NetworkRouteSection;;A component of a NetworkRoute.;;;;
;;relativeElevation;The relative height to which something is elevated above a point of reference such as the ground.;;;;
;;accuracy;"The accuracy of the GeographicLocation.  For example, this GPS measurement is accurate to +-20 metres. This attribute allows us to determine when two points close to each other could be the same point. Refer ""[OGIS] Abstract Specification, Topic 9: Quality"" for details of this complex subject.
Notes: This should be provided if the geometry attribute is not null.";;;;
;;geometry;"The two dimensional graphical representation of the Location allowing it to be displayed on a map and to be used for spatial calculations.
Notes: Since Geometry is abstract, the attribute will actually be one of the concrete subclasses";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;Property;;"A piece of land with defined legal boundaries.This is an example of a concrete Geographic Location entity.
Synonyms / Aliases: Land Parcel";;;;
;;elevation;The height above sea level, in the indicated units;;;;
;;landCover;The vegetation (natural or planted) or man made constructions (buildings, etc.) which occur on the earth surface. Water, ice, bare rock, sand and similar surfaces also count as land cover. [Land Use Database];;;;
;;landUse;A series of operations on land, carried out by humans, with the intention to obtain products and/or benefits through using land resources. [Land Use Database];;;;
;;lotNr;A number assigned to a Property lot that is used to identify it.;;;;
;;name;The property name, if it exists.;;;;
;;accuracy;"The accuracy of the GeographicLocation.  For example, this GPS measurement is accurate to +-20 metres. This attribute allows us to determine when two points close to each other could be the same point. Refer ""[OGIS] Abstract Specification, Topic 9: Quality"" for details of this complex subject.
Notes: This should be provided if the geometry attribute is not null.";;;;
;;geometry;"The two dimensional graphical representation of the Location allowing it to be displayed on a map and to be used for spatial calculations.
Notes: Since Geometry is abstract, the attribute will actually be one of the concrete subclasses";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;SimpleGeographicLocation;;"A GeographicLocation that is composed of a single element; not compound.";;;;
;;accuracy;"The accuracy of the GeographicLocation.  For example, this GPS measurement is accurate to +-20 metres. This attribute allows us to determine when two points close to each other could be the same point. Refer ""[OGIS] Abstract Specification, Topic 9: Quality"" for details of this complex subject.
Notes: This should be provided if the geometry attribute is not null.";;;;
;;geometry;"The two dimensional graphical representation of the Location allowing it to be displayed on a map and to be used for spatial calculations.
Notes: Since Geometry is abstract, the attribute will actually be one of the concrete subclasses";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;Street;;A public or private road in a city or town, typically with houses and buildings on one or both sides.;;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;StreetName;;The name of the street or other street type.;;;;
;;name;The name of the street.;;;;
;;nameType;The category of the name, such as legal, alias, and so forth.;;;;
;;streetType;"The kind of street, such as alley, avenue, boulevard, brae, crescent, drive, highway, lane, terrace, parade, place, tarn, way, wharf.
Notes: may need to store a set of abbreviations as well";;;;
;StreetSegment;;Each of the parts into which Street is or may be divided.;;;;
;;suburb;An outlying district of a city, especially a residential one.;;;;
;;accuracy;"The accuracy of the GeographicLocation.  For example, this GPS measurement is accurate to +-20 metres. This attribute allows us to determine when two points close to each other could be the same point. Refer ""[OGIS] Abstract Specification, Topic 9: Quality"" for details of this complex subject.
Notes: This should be provided if the geometry attribute is not null.";;;;
;;geometry;"The two dimensional graphical representation of the Location allowing it to be displayed on a map and to be used for spatial calculations.
Notes: Since Geometry is abstract, the attribute will actually be one of the concrete subclasses";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;StreetSegmentGeoAddressRelationship;;The relationship between a StreetSegment and a GeographicAddress.;;;;
;;relationshipType;The type of relationship that exists between a StreetSegment and a GeographicAddress, such as component of in order to use the suburb attribute as part of the GeographicAddress.;;;;
Geographic Place ABE.Geographic Address ABE;;;A group of entities used to represent the geographic address of a location.;;;;
;AbstractGeographicAddress;;An abstract (not a material) address from which others, such as GeogrphicAddress, inherit.;;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;AmericanPropertyAddress;;"A type of urban property address that represents an American address.
Note:  This is an example entity.";;;;
;;streetNamePrefix;A word, letter, or number placed before the street name.;;;;
;;streetNameSuffix;A word, letter, or number placed after the street name.;;;;
;;streetNrFirstPrefix;A word, letter, or number placed before the street number.;;;;
;;streetNrLastPrefix;A word, letter, or number placed before last number in a range of street numbers allocated to a property.;;;;
;;locality;"""An area of defined or undefined boundaries within a local authority or other legislatively defined area, usually rural or semi rural in nature."" [ANZLIC-STREET], or a suburb ""a bounded locality within a city, town or shire principally of urban character "" [ANZLIC-STREET]";;;;
;;postcode;"A descriptor for a postal delivery area, used to speed and simplify the delivery of mail.
Notes: also known as ZIP code";;;;
;;streetName;The name of the street or other street type.;;;;
;;streetNrFirst;"A number identifying a specific property on a public street. It may be combined with streetNrLast for ranged addresses.
Notes: A ranged address could be “26-28 XXX Street”";;;;
;;streetNrFirstSuffix;"The first street number suffix.
Notes: e.g. “A” for address “101A”";;;;
;;streetNrLast;"The last number in a range of street numbers allocated to a property.
Notes: only entered for ranged addresses, otherwise left blank";;;;
;;streetNrLastSuffix;The last street number suffix for a ranged address.;;;;
;;streetSuffix;"A modifier denoting a relative direction
Notes: e.g. CENTRAL, EAST, LOWER, NORTH, NORTH EAST, NORTH WEST, SOUTH, SOUTH EAST, SOUTH WEST, UPPER, WEST";;;;
;;streetType;"The kind of street, such as alley, avenue, boulevard, brae, crescent, drive, highway, lane, terrace, parade, place, tarn, way, wharf.
Notes: may need to store a set of abbreviations as well";;;;
;;country;The country that the address is in.;;;;
;;stateOrProvince;"The state or province that the address is in.
Synonyms / Aliases: province, territory";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;AustralianPropertyAddress;;"A type of urban property address that represents an Australian address.
Note:  This is an example entity.";;;;
;;locality;"""An area of defined or undefined boundaries within a local authority or other legislatively defined area, usually rural or semi rural in nature."" [ANZLIC-STREET], or a suburb ""a bounded locality within a city, town or shire principally of urban character "" [ANZLIC-STREET]";;;;
;;postcode;"A descriptor for a postal delivery area, used to speed and simplify the delivery of mail.
Notes: also known as ZIP code";;;;
;;streetName;The name of the street or other street type.;;;;
;;streetNrFirst;"A number identifying a specific property on a public street. It may be combined with streetNrLast for ranged addresses.
Notes: A ranged address could be “26-28 XXX Street”";;;;
;;streetNrFirstSuffix;"The first street number suffix.
Notes: e.g. “A” for address “101A”";;;;
;;streetNrLast;"The last number in a range of street numbers allocated to a property.
Notes: only entered for ranged addresses, otherwise left blank";;;;
;;streetNrLastSuffix;The last street number suffix for a ranged address.;;;;
;;streetSuffix;"A modifier denoting a relative direction
Notes: e.g. CENTRAL, EAST, LOWER, NORTH, NORTH EAST, NORTH WEST, SOUTH, SOUTH EAST, SOUTH WEST, UPPER, WEST";;;;
;;streetType;"The kind of street, such as alley, avenue, boulevard, brae, crescent, drive, highway, lane, terrace, parade, place, tarn, way, wharf.
Notes: may need to store a set of abbreviations as well";;;;
;;country;The country that the address is in.;;;;
;;stateOrProvince;"The state or province that the address is in.
Synonyms / Aliases: province, territory";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;AustralianRuralAddress;;"A type of urban property address that represents a rural Australian address.
Note:  This is an example entity.";;;;
;;country;The country that the address is in.;;;;
;;stateOrProvince;"The state or province that the address is in.
Synonyms / Aliases: province, territory";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;GeographicAddress;;A structured textual way of describing how to find a Geographic Location. It is usually composed of an ordered list of Geographic Location names based on context specific rulesIt is an abstract modeling concept that provides a linking point to other parts of the SID model.It holds attributes common to all Geographic Address subclasses.;;;;
;;country;The country that the address is in.;;;;
;;stateOrProvince;"The state or province that the address is in.
Synonyms / Aliases: province, territory";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;GeographicSubAddress;;"A Geographic Sub Address ""contains information in addition to that generally found in a standard single address [ANZLIC-STREET]It is an abstract modeling concept that provides a linking point to other parts of the SID model.It holds attributes common to all Geographic Sub Address subclasses.";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;JapanesePropertyAddress;;"A type of urban property address that represents a Japanese address.
Note:  This is an example entity.";;;;
;;locality;"""An area of defined or undefined boundaries within a local authority or other legislatively defined area, usually rural or semi rural in nature."" [ANZLIC-STREET], or a suburb ""a bounded locality within a city, town or shire principally of urban character "" [ANZLIC-STREET]";;;;
;;postcode;"A descriptor for a postal delivery area, used to speed and simplify the delivery of mail.
Notes: also known as ZIP code";;;;
;;streetName;The name of the street or other street type.;;;;
;;streetNrFirst;"A number identifying a specific property on a public street. It may be combined with streetNrLast for ranged addresses.
Notes: A ranged address could be “26-28 XXX Street”";;;;
;;streetNrFirstSuffix;"The first street number suffix.
Notes: e.g. “A” for address “101A”";;;;
;;streetNrLast;"The last number in a range of street numbers allocated to a property.
Notes: only entered for ranged addresses, otherwise left blank";;;;
;;streetNrLastSuffix;The last street number suffix for a ranged address.;;;;
;;streetSuffix;"A modifier denoting a relative direction
Notes: e.g. CENTRAL, EAST, LOWER, NORTH, NORTH EAST, NORTH WEST, SOUTH, SOUTH EAST, SOUTH WEST, UPPER, WEST";;;;
;;streetType;"The kind of street, such as alley, avenue, boulevard, brae, crescent, drive, highway, lane, terrace, parade, place, tarn, way, wharf.
Notes: may need to store a set of abbreviations as well";;;;
;;country;The country that the address is in.;;;;
;;stateOrProvince;"The state or province that the address is in.
Synonyms / Aliases: province, territory";;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;LogicalAddress;;"An address that allows sending something (tangible or intangible) to a central point where it can be retrieved.
For example, with email, a message is sent to the recipient’s ISP mail server. The recipient can then connect to the server from anywhere in the world and retrieve the message. The intermediate location is not of interest to the message sender.";;;;
;PoBoxAddress;;An optional component of a PostalDeliveryAddress that reprsents a post office box number.;;;;
;;boxNr;A number or text that represents a post office box number.;;;;
;;boxType;The kind of box number.  For example one at a post office or other location authorized to maintain postal boxes.;;;;
;PostalDeliveryAddress;;The address to which posts (mail) are delivered.;;;;
;PropertyAddressAssociation;;An association between Property and UrbanPropertyAddress that provides the address of the Property.;;;;
;;relativeModifier;A limitation or qualification of the association.;;;;
;;type;The kind of the relationship, such as primary, secondary, mailing, and so forth.;;;;
;;validFor;The time period for which the association is valid.;;;;
;PropertySubAddress;;An type of address used for addressing within a property. It may refer to a building, a building cluster, or a floor of a multistory building.;;;;
;;ID;Unique identifier for Place.;;;;
;;validFor;"The time period that the Place is valid for
Permitted Values:  Refer Time Period class";;;;
;UrbanPropertyAddress;;An UrbanPropertyAddress is a structured textual way of describing how to find a Property in an urban area (country properties are often defined differently). It is usually composed of an ordered list of Location names based on context specific rulesThis is an example of a concrete Geographic Location entity.;;;;
;;locality;"""An area of defined or undefined boundaries within a local authority or other legislatively defined area, usually rural or semi rural in nature."" [ANZLIC-STREET], or a suburb ""a bounded locality within a city, town or shire principally of urban character "" [ANZLIC-STREET]";;;;
;;postcode;"A descriptor for a postal delivery area, used to speed and simplify the delivery of mail.
Notes: also known as ZIP code";;;;
;;streetName;The name of the street or other street type.;;;;
;;streetNrFirst;"A number identifying a specific property on a public street. It may be combined with streetNrLast for ranged addresses.
Notes: A ranged address could be “26-28 XXX Street”";;;;
;;streetNrFirstSuffix;"The first street number suffix.
Notes: e.g. “A” for address “101A”";;;;
